"Year","Area","Street","Street.2"
2011,"Birmingham","Lea̴Village,̴Stechford","Lea Village, Stechford"
2011,"Birmingham","Lenches̴Close,̴Mosley","Lenches Close, Mosley"
2011,"Birmingham","Lime̴Tree̴Rd","Lime Tree Rd"
2011,"Birmingham","Lode̴Ln̴ ̴Hermitage̴Rd","Lode Ln Hermitage Rd"
2011,"Birmingham","Long̴St","Long St"
2011,"Birmingham","Long̴St ̴Sparkhill","Long St Sparkhill"
2011,"Birmingham","Longbridge̴Ln","Longbridge Ln"
2011,"Birmingham","Longmeadow̴Crescent̴Shard̴End̴,̴Bham","Longmeadow Crescent Shard End, Bham"
2011,"Birmingham","Maccadown̴Ln","Maccadown Ln"
2011,"Birmingham","Masshouse̴Ln","Masshouse Ln"
2011,"Birmingham","Meadwaym̴Stechford","Meadwaym Stechford"
2011,"Birmingham","Mickleover̴Rd,̴Bromford","Mickleover Rd, Bromford"
2011,"Birmingham","Moorcroft̴Rd","Moorcroft Rd"
2011,"Birmingham","Moseley̴Rd","Moseley Rd"
2011,"Birmingham","Moseley̴Rd","Moseley Rd"
2011,"Birmingham","Moseley̴Rd","Moseley Rd"
2011,"Birmingham","Moseley̴Rd","Moseley Rd"
2011,"Birmingham","Moseley̴Village","Moseley Village"
2011,"Birmingham","Moseley̴Village","Moseley Village"
2011,"Birmingham","Moseley̴Village,̴Alcester̴Rd","Moseley Village, Alcester Rd"
2011,"Birmingham","Mosley̴All̴Services̴Club,̴Church̴Rd,̴Moseley","Mosley All Services Club, Church Rd, Moseley"
2011,"Birmingham","Nearlands̴Close̴Quinton","Nearlands Close Quinton"
2011,"Birmingham","New̴St","New St"
2011,"Birmingham","Northfield̴High̴St","Northfield High St"
2011,"Birmingham","O/S̴Behans,̴Highfield̴Rd,̴Billesley","O/S Behans, Highfield Rd, Billesley"
2011,"Birmingham","O/S̴The̴Junction,̴Mosley̴Village","O/S The Junction, Mosley Village"
2011,"Birmingham","O/S̴Washwood̴Heath̴Rd","O/S Washwood Heath Rd"
2011,"Birmingham","Oakhill̴Rd,̴Acocks̴Green","Oakhill Rd, Acocks Green"
2011,"Birmingham","Opp̴White̴Hart̴Ln̴Cooks̴Ln","Opp White Hart Ln Cooks Ln"
2011,"Birmingham","Opposite,̴Aldi,̴Stratford̴Rd","Opposite, Aldi, Stratford Rd"
2011,"Birmingham","Outside̴Java̴Lounge̴Alcester̴Rd","Outside Java Lounge Alcester Rd"
2011,"Birmingham","Outside̴O2̴Academy̴Night̴Club̴B Ham̴City̴Centre","Outside O2 Academy Night Club B Ham City Centre"
2011,"Birmingham","Outside̴Raven̴Public̴House","Outside Raven Public House"
2011,"Birmingham","Packington̴Ave,̴Shard̴End","Packington Ave, Shard End"
2011,"Birmingham","Park̴Off̴Hob̴Moor̴Rd","Park Off Hob Moor Rd"
2011,"Birmingham","Parkhall̴Croft","Parkhall Croft"
2011,"Birmingham","Pear̴Tree̴Ph","Pear Tree Ph"
2011,"Birmingham","Police̴Station","Police Station"
2011,"Birmingham","Police̴Station̴Stechford","Police Station Stechford"
2011,"Birmingham","Poplar̴Rd","Poplar Rd"
2011,"Birmingham","Poplar̴Rd","Poplar Rd"
2011,"Birmingham","Poplar̴Rd̴,̴Solihull","Poplar Rd, Solihull"
2011,"Birmingham","Poplar̴Rd,̴Solihull","Poplar Rd, Solihull"
2011,"Birmingham","Preston̴Rd","Preston Rd"
2011,"Birmingham","Priory̴Rd,̴Hall̴Green","Priory Rd, Hall Green"
2011,"Birmingham","Prospect̴Rd","Prospect Rd"
2011,"Birmingham","Queenswood̴Rd","Queenswood Rd"
2011,"Birmingham","Rear̴Of̴Boots,̴High̴St","Rear Of Boots, High St"
2011,"Birmingham","Reddings̴Ln,̴Tsyley","Reddings Ln, Tsyley"
2011,"Birmingham","Richmond̴Primary̴Care̴Centre,̴Richmond̴Rd,̴Stechford","Richmond Primary Care Centre, Richmond Rd, Stechford"
2011,"Birmingham","Ring̴Rd,̴Stourbridge","Ring Rd, Stourbridge"
2011,"Birmingham","Sainsburys,̴Wawrick̴Rd","Sainsburys, Wawrick Rd"
2011,"Birmingham","Sainsburys ̴Alcester̴Rd̴South","Sainsburys Alcester Rd South"
2011,"Birmingham","Sandford̴Rd̴Moseley","Sandford Rd Moseley"
2011,"Birmingham","Sarehole̴Mill","Sarehole Mill"
2011,"Birmingham","Sedgemere̴Rd","Sedgemere Rd"
2011,"Birmingham","Shirley̴Rd","Shirley Rd"
2011,"Birmingham","Shirley̴Rd","Shirley Rd"
2011,"Birmingham","Snow̴Hill","Snow Hill"
2011,"Birmingham","Solihull̴Ln","Solihull Ln"
2011,"Birmingham","St̴Mary S̴Rd,̴Moseley","St Mary S Rd, Moseley"
2011,"Birmingham","St̴Marys̴Row","St Marys Row"
2011,"Birmingham","Station̴Rd","Station Rd"
2011,"Birmingham","Station̴Way,̴Birmingham̴International̴Rail̴Station","Station Way, Birmingham International Rail Station"
2011,"Birmingham","Stechford̴Front̴Office","Stechford Front Office"
2011,"Birmingham","Stechford̴P S","Stechford P S"
2011,"Birmingham","Stechford̴Retail̴Park","Stechford Retail Park"
2011,"Birmingham","Stonehenge̴Croft̴Druids̴Heath","Stonehenge Croft Druids Heath"
2011,"Birmingham","Stoney̴Ln","Stoney Ln"
2011,"Birmingham","Stoney̴Ln","Stoney Ln"
2011,"Birmingham","Stoney̴Ln","Stoney Ln"
2011,"Birmingham","Stratford̴Heath,̴Spark̴Hill,̴Birmingham","Stratford Heath, Spark Hill, Birmingham"
2011,"Birmingham","Stratford̴Rd","Stratford Rd"
2011,"Birmingham","Stratford̴Rd","Stratford Rd"
2011,"Birmingham","Stratford̴Rd","Stratford Rd"
2011,"Birmingham","Stratford̴Rd,̴Hall̴Green","Stratford Rd, Hall Green"
2011,"Birmingham","Stratford̴Rds","Stratford Rds"
2011,"Birmingham","Stuart̴Rd,̴Stechford","Stuart Rd, Stechford"
2011,"Birmingham","Talbort̴St","Talbort St"
2011,"Birmingham","Taunton̴Rd","Taunton Rd"
2011,"Birmingham","Tavistock̴Rd","Tavistock Rd"
2011,"Birmingham","The̴Ave","The Ave"
2011,"Birmingham","The̴Paer̴Tree̴Pub","The Paer Tree Pub"
2011,"Birmingham","Trafalger̴Rd","Trafalger Rd"
2011,"Birmingham","Wake̴Green̴Rd","Wake Green Rd"
2011,"Birmingham","Ward̴End̴Rd","Ward End Rd"
2011,"Birmingham","Warwick̴Rd","Warwick Rd"
2011,"Birmingham","Warwick̴Rd","Warwick Rd"
2011,"Birmingham","Warwick̴Rd","Warwick Rd"
2011,"Birmingham","Warwick̴Rd","Warwick Rd"
2011,"Birmingham","Warwick̴Rd","Warwick Rd"
2011,"Birmingham","Warwick̴Rd̴Tysley","Warwick Rd Tysley"
2011,"Birmingham","Wash̴Ln","Wash Ln"
2011,"Birmingham","Washford̴Heath̴Rd","Washford Heath Rd"
2011,"Birmingham","Washwood̴Heath̴Pub","Washwood Heath Pub"
2011,"Birmingham","Washwood̴Heath̴Rd,̴Washwood̴Heath,̴Bham","Washwood Heath Rd, Washwood Heath, Bham"
2011,"Birmingham","Washwood̴Heath̴Rd","Washwood Heath Rd"
2011,"Birmingham","Washwood̴Heath̴Rd","Washwood Heath Rd"
2011,"Birmingham","Washwood̴Heath̴Rd","Washwood Heath Rd"
2011,"Birmingham","Washwood̴Heath̴Rd","Washwood Heath Rd"
2011,"Birmingham","Watery̴Ln̴Middleway,̴Birmingham","Watery Ln Middleway, Birmingham"
2011,"Birmingham","Wawrick̴Rd","Wawrick Rd"
2011,"Birmingham","Welshfarm̴Rd,̴Quinton","Welshfarm Rd, Quinton"
2011,"Birmingham","Westley̴Rd","Westley Rd"
2011,"Birmingham","Westley̴Rd,̴Acocks̴Green","Westley Rd, Acocks Green"
2011,"Birmingham","White̴Hart̴Public̴House","White Hart Public House"
2011,"Birmingham","White̴Hart̴Public̴House","White Hart Public House"
2011,"Birmingham","Whiteheart̴Pub,̴Gressell̴Ln","Whiteheart Pub, Gressell Ln"
2011,"Birmingham","William̴Hill̴Bookmakers,̴Washwood̴Heath̴Rd","William Hill Bookmakers, Washwood Heath Rd"
2011,"Birmingham","William̴Hill̴Bookmakers,̴Washwood̴Heath̴Rd","William Hill Bookmakers, Washwood Heath Rd"
2011,"Birmingham","William̴Hill̴Washwood̴Heath̴Rd","William Hill Washwood Heath Rd"
2011,"Birmingham","Windward̴Rd","Windward Rd"
2011,"Birmingham","Windward̴Rd","Windward Rd"
2011,"Birmingham","Wood̴End̴Rd,̴Erdington","Wood End Rd, Erdington"
2011,"Birmingham","Woodbridge̴Rd,̴Moseley","Woodbridge Rd, Moseley"
2011,"Birmingham","Wright̴St","Wright St"
2011,"Birmingham","Yardley̴Green̴Rd","Yardley Green Rd"
2011,"Birmingham","Yardley̴Rd̴Acocks̴Green","Yardley Rd Acocks Green"
2011,"Birmingham","Yardley̴Wood̴Rd","Yardley Wood Rd"
2011,"Birmingham","Yardley̴Wood̴Rd","Yardley Wood Rd"
2011,"Birmingham","Yew̴Tree̴Car̴Park","Yew Tree Car Park"
2011,"Birmingham","Yew̴Tree̴Ln","Yew Tree Ln"
2011,"Birmingham","Yew̴Tree̴Public̴House̴Car̴Park","Yew Tree Public House Car Park"
2011,"Birmingham","Armada̴Pub,̴Slade̴Rd,̴Erdington,̴Birmingham","Armada Pub, Slade Rd, Erdington, Birmingham"
2011,"Birmingham","Armarda̴Pub,̴̴Gravelly̴Hill","Armarda Pub, Gravelly Hill"
2011,"Birmingham","Armarda̴Pub,̴Gravelly̴Hill","Armarda Pub, Gravelly Hill"
2011,"Birmingham","Badgers̴Bank̴Rd","Badgers Bank Rd"
2011,"Birmingham","Baldmoor̴Lake̴Rd,̴Erdington,̴Birmingham","Baldmoor Lake Rd, Erdington, Birmingham"
2011,"Birmingham","Bandywood̴Rd,̴Kingstanding","Bandywood Rd, Kingstanding"
2011,"Birmingham","Beckenham̴Rd","Beckenham Rd"
2011,"Birmingham","Beeches̴Walk","Beeches Walk"
2011,"Birmingham","Birmingham̴Rd","Birmingham Rd"
2011,"Birmingham","Birmingham̴Rd","Birmingham Rd"
2011,"Birmingham","Birmingham̴Rd,̴Sc","Birmingham Rd, Sc"
2011,"Birmingham","Birmingham̴Rd","Birmingham Rd"
2011,"Birmingham","Birmingham̴Rd","Birmingham Rd"
2011,"Birmingham","Birmingham̴Rd̴Sutton","Birmingham Rd Sutton"
2011,"Birmingham","Birmingham̴Rd,̴Erdington","Birmingham Rd, Erdington"
2011,"Birmingham","Birmingham̴Rd,̴Sutton̴Coldfield","Birmingham Rd, Sutton Coldfield"
2011,"Birmingham","Birmingham̴Rd,̴Sutton̴Coldfield","Birmingham Rd, Sutton Coldfield"
2011,"Birmingham","Bowling̴Green̴Close","Bowling Green Close"
2011,"Birmingham","Bracebridge̴Rd,̴Erdington","Bracebridge Rd, Erdington"
2011,"Birmingham","Brassington̴Ave","Brassington Ave"
2011,"Birmingham","Bromford̴Ln","Bromford Ln"
2011,"Birmingham","Bromford̴Ln,̴Erdington,̴B Ham","Bromford Ln, Erdington, B Ham"
2011,"Birmingham","Brookvale̴Park̴Rd","Brookvale Park Rd"
2011,"Birmingham","Carhampton̴Rd,̴Falcon̴Lodge,̴Sutton̴Colfield","Carhampton Rd, Falcon Lodge, Sutton Colfield"
2011,"Birmingham","Carshalton̴Rd","Carshalton Rd"
2011,"Birmingham","Carshorlton̴Rd","Carshorlton Rd"
2011,"Birmingham","Chester̴Rd","Chester Rd"
2011,"Birmingham","Chester̴Rd","Chester Rd"
2011,"Birmingham","Chester̴Rd,̴Halls̴Garden̴Centre","Chester Rd, Halls Garden Centre"
2011,"Birmingham","Church̴Rd̴At̴Chester̴Rd","Church Rd At Chester Rd"
2011,"Birmingham","College̴Rd,̴Kingstanding,̴B Ham","College Rd, Kingstanding, B Ham"
2011,"Birmingham","College̴Rd,̴Kingstanding,̴B Ham","College Rd, Kingstanding, B Ham"
2011,"Birmingham","Copshill̴Court,̴Mount̴View,̴Sutton̴Coldfield","Copshill Court, Mount View, Sutton Coldfield"
2011,"Birmingham","Dovedale̴Rd,̴Erdington,̴B Ham","Dovedale Rd, Erdington, B Ham"
2011,"Birmingham","Downside̴Rd,̴Erdington,̴B Ham","Downside Rd, Erdington, B Ham"
2011,"Birmingham","Eachelhurt̴Rd,̴Erdington","Eachelhurt Rd, Erdington"
2011,"Birmingham","Erdington̴Hall̴Rd","Erdington Hall Rd"
2011,"Birmingham","Erdington̴Hall̴Rd","Erdington Hall Rd"
2011,"Birmingham","Erdington̴High̴St","Erdington High St"
2011,"Birmingham","Fentham̴Rd,̴Erdington,̴B Ham","Fentham Rd, Erdington, B Ham"
2011,"Birmingham","Finchley̴Rd","Finchley Rd"
2011,"Birmingham","Finchley̴Rd,̴Kingstanding,̴B Ham","Finchley Rd, Kingstanding, B Ham"
2011,"Birmingham","George̴Frederick̴Rd","George Frederick Rd"
2011,"Birmingham","Golden̴Pond̴Take̴Away̴�����̴Boldmere̴Rd","Golden Pond Take Away ����� Boldmere Rd"
2011,"Birmingham","Good̴Hope̴Hospital","Good Hope Hospital"
2011,"Birmingham","Gracechurch̴Centre","Gracechurch Centre"
2011,"Birmingham","Gracechurch̴Centre,̴Outside̴Supercigs","Gracechurch Centre, Outside Supercigs"
2011,"Birmingham","Gracechurch̴Shopping̴Centre,̴Sutton̴Coldfield","Gracechurch Shopping Centre, Sutton Coldfield"
2011,"Birmingham","Grassed̴Area̴,̴Pype̴Hayes̴Park","Grassed Area, Pype Hayes Park"
2011,"Birmingham","Gravelley̴Ln","Gravelley Ln"
2011,"Birmingham","Gravelley̴Ln","Gravelley Ln"
2011,"Birmingham","Gravelley̴Ln","Gravelley Ln"
2011,"Birmingham","Gravelly̴Ln,̴Erdington,̴Birmingham","Gravelly Ln, Erdington, Birmingham"
2011,"Birmingham","Hairy̴Lemon̴Pub̴ Sutton̴Coldfield","Hairy Lemon Pub Sutton Coldfield"
2011,"Birmingham","Hairy̴Lemon̴Pub̴ Sutton̴Coldfield","Hairy Lemon Pub Sutton Coldfield"
2011,"Birmingham","Hermatige̴Rd","Hermatige Rd"
2011,"Birmingham","Hermatige̴Rd","Hermatige Rd"
2011,"Birmingham","Hermitage̴Drive","Hermitage Drive"
2011,"Birmingham","High̴St","High St"
2011,"Birmingham","High̴St̴Erdington","High St Erdington"
2011,"Birmingham","High̴St,̴Erdington","High St, Erdington"
2011,"Birmingham","High̴St,̴Erdington","High St, Erdington"
2011,"Birmingham","High̴St,̴S/C","High St, S/C"
2011,"Birmingham","High̴St,̴S/C","High St, S/C"
2011,"Birmingham","Hight̴St̴Erdington","Hight St Erdington"
2011,"Birmingham","Hunton̴Hill","Hunton Hill"
2011,"Birmingham","Kfc̴Retail̴Outlet̴,̴Erdington̴High̴St","Kfc Retail Outlet, Erdington High St"
2011,"Birmingham","Kingsbury̴Rd,̴Erdington,̴B Ham","Kingsbury Rd, Erdington, B Ham"
2011,"Birmingham","Kingstanding̴Circle","Kingstanding Circle"
2011,"Birmingham","Ladywell̴Walk,̴Birmingham","Ladywell Walk, Birmingham"
2011,"Birmingham","Landsdown̴Rd","Landsdown Rd"
2011,"Birmingham","Lichfield̴Rd,̴Mere̴Green","Lichfield Rd, Mere Green"
2011,"Birmingham","Lichfield̴Rd,̴Sutton̴Coldfield","Lichfield Rd, Sutton Coldfield"
2011,"Birmingham","Lindridge̴Rd,̴Sutton̴Coldfield","Lindridge Rd, Sutton Coldfield"
2011,"Birmingham","Little̴Aston̴Ln","Little Aston Ln"
2011,"Birmingham","Longford̴Rd","Longford Rd"
2011,"Birmingham","Longford̴Rd,̴Kingstanding,̴B Ham","Longford Rd, Kingstanding, B Ham"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade","Lower Parade"
2011,"Birmingham","Lower̴Parade̴Sc","Lower Parade Sc"
2011,"Birmingham","Lower̴Parade̴Sutton","Lower Parade Sutton"
2011,"Birmingham","Lower̴Parade̴Sutton̴Coldfield","Lower Parade Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,","Lower Parade,"
2011,"Birmingham","Lower̴Parade,̴Suton̴Coldfield","Lower Parade, Suton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield̴Town̴Centre","Lower Parade, Sutton Coldfield Town Centre"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield̴Town̴Centre","Lower Parade, Sutton Coldfield Town Centre"
2011,"Birmingham","Lower̴Parade,̴Sutton̴Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lydham̴Close","Lydham Close"
2011,"Birmingham","Mill̴St","Mill St"
2011,"Birmingham","Mill̴St,̴Sutton̴Coldfield","Mill St, Sutton Coldfield"
2011,"Birmingham","Moor̴Hall̴Hotel","Moor Hall Hotel"
2011,"Birmingham","Mulberry̴Court̴Carpark,̴Kings̴Rd,̴Kingstanding,̴Birmingham","Mulberry Court Carpark, Kings Rd, Kingstanding, Birmingham"
